"sales_key","sales_order_number","order_date","product_key","reseller_key","employee_key","sales_teritory_key","quantity","unit_price","sales","cost"
1,SO43897,2017-08-25,235,312,282,4,"2",$28.84,$57.68,$63.45
2,SO43897,2017-08-25,351,312,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
3,SO43897,2017-08-25,348,312,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
4,SO43897,2017-08-25,232,312,282,4,"2",$28.84,$57.68,$63.45
5,SO44544,2017-11-18,292,312,282,4,"2",$818.7,"$1,637.4","$1,413.62"
6,SO44544,2017-11-18,220,312,282,4,"2",$20.19,$40.38,$24.06
7,SO44544,2017-11-18,351,312,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
8,SO44544,2017-11-18,349,312,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
9,SO44544,2017-11-18,344,312,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
10,SO45321,2018-02-18,346,312,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
11,SO45321,2018-02-18,347,312,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
12,SO46082,2018-05-23,220,312,282,4,"2",$20.19,$40.38,$24.06
13,SO46082,2018-05-23,346,312,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
14,SO46082,2018-05-23,345,312,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
15,SO46082,2018-05-23,232,312,282,4,"2",$28.84,$57.68,$63.45
16,SO46082,2018-05-23,344,312,282,4,"2","$2,039.99","$4,079.98","$3,824.31"
17,SO46082,2018-05-23,348,312,282,4,"2","$2,024.99","$4,049.98","$3,796.19"
18,SO46082,2018-05-23,212,312,282,4,"2",$20.19,$40.38,$24.06
19,SO47028,2018-08-24,410,312,282,4,"2",$36.45,$72.9,$53.94
20,SO47028,2018-08-24,464,312,282,4,"2",$14.13,$28.26,$19.43
21,SO47028,2018-08-24,412,312,282,4,"2",$180.13,$360.26,$266.59
22,SO47028,2018-08-24,420,312,282,4,"2",$141.62,$283.24,$209.59
23,SO47028,2018-08-24,468,312,282,4,"2",$22.79,$45.58,$31.34
24,SO47028,2018-08-24,360,312,282,4,"2","$1,229.46","$2,458.92","$2,211.62"
25,SO47028,2018-08-24,409,312,282,4,"2",$209.26,$418.52,$371.64
26,SO47028,2018-08-24,308,312,282,4,"2",$744.27,"$1,488.54","$1,321.83"
27,SO47028,2018-08-24,428,312,282,4,"2",$209.26,$418.52,$371.64
28,SO48049,2018-11-19,401,312,282,4,"2",$65.6,$131.2,$97.09
29,SO48049,2018-11-19,224,312,282,4,"2",$5.19,$10.38,$10.46
30,SO48049,2018-11-19,412,312,282,4,"2",$180.13,$360.26,$266.59
31,SO48049,2018-11-19,458,312,282,4,"2",$44.99,$89.98,$61.87
32,SO48049,2018-11-19,411,312,282,4,"2",$125.42,$250.84,$185.61
33,SO48049,2018-11-19,297,312,282,4,"2",$736.15,"$1,472.3","$1,307.39"
34,SO48049,2018-11-19,409,312,282,4,"2",$209.26,$418.52,$371.64
35,SO48049,2018-11-19,221,312,282,4,"2",$20.19,$40.38,$27.76
36,SO48049,2018-11-19,427,312,282,4,"2",$209.26,$418.52,$371.64
37,SO49132,2019-02-20,399,312,282,4,"2",$33.77,$67.54,$49.99
38,SO49132,2019-02-20,358,312,282,4,"2","$1,229.46","$2,458.92","$2,211.62"
39,SO49132,2019-02-20,354,312,282,4,"2","$1,242.85","$2,485.7","$2,235.71"
40,SO49132,2019-02-20,420,312,282,4,"2",$141.62,$283.24,$209.59
41,SO49132,2019-02-20,362,312,282,4,"2","$1,229.46","$2,458.92","$2,211.62"
42,SO49132,2019-02-20,421,312,282,4,"2",$196.33,$392.66,$290.57
43,SO50294,2019-05-25,356,312,282,4,"2","$1,242.85","$2,485.7","$2,235.71"
