"employee_key","target_month","target_value"
293,2017-12-01,"$500,000"
277,2017-07-01,"$500,000"
287,2017-12-01,"$500,000"
282,2017-09-01,"$500,000"
272,2017-07-01,"$500,000"
285,2017-12-01,"$500,000"
281,2017-08-01,"$500,000"
289,2017-12-01,"$500,000"
286,2018-02-01,"$500,000"
293,2018-05-01,"$500,000"
287,2018-06-01,"$500,000"
287,2018-07-01,"$500,000"
287,2018-08-01,"$500,000"
287,2018-09-01,"$500,000"
287,2018-10-01,"$500,000"
287,2018-11-01,"$500,000"
287,2018-12-01,"$500,000"
282,2018-02-01,"$500,000"
282,2018-03-01,"$500,000"
284,2018-07-01,"$500,000"
284,2018-08-01,"$500,000"
284,2018-09-01,"$500,000"
284,2018-10-01,"$500,000"
284,2018-11-01,"$500,000"
284,2018-12-01,"$500,000"
288,2018-07-01,"$500,000"
288,2018-08-01,"$500,000"
288,2018-09-01,"$500,000"
288,2018-10-01,"$500,000"
288,2018-11-01,"$500,000"
288,2018-12-01,"$500,000"
281,2018-03-01,"$500,000"
281,2018-04-01,"$500,000"
281,2018-06-01,"$500,000"
289,2018-08-01,"$500,000"
286,2019-03-01,"$500,000"
293,2019-09-01,"$500,000"
293,2019-12-01,"$500,000"
292,2019-11-01,"$500,000"
287,2019-02-01,"$500,000"
287,2019-03-01,"$500,000"
287,2019-12-01,"$500,000"
282,2019-02-01,"$500,000"
284,2019-07-01,"$500,000"
284,2019-10-01,"$500,000"
288,2019-07-01,"$500,000"
288,2019-08-01,"$500,000"
288,2019-10-01,"$500,000"
291,2019-12-01,"$500,000"
281,2019-03-01,"$500,000"
281,2019-05-01,"$500,000"
281,2019-07-01,"$500,000"
281,2019-08-01,"$500,000"
281,2019-09-01,"$500,000"
281,2019-10-01,"$500,000"
281,2019-11-01,"$500,000"
281,2019-12-01,"$500,000"
290,2019-10-01,"$500,000"
290,2019-12-01,"$500,000"
289,2019-10-01,"$500,000"
293,2020-04-01,"$500,000"
293,2020-05-01,"$500,000"
293,2020-06-01,"$500,000"
293,2020-08-01,"$500,000"
293,2020-09-01,"$500,000"
293,2020-11-01,"$500,000"
293,2020-12-01,"$500,000"
292,2020-11-01,"$500,000"
287,2020-02-01,"$500,000"
287,2020-12-01,"$500,000"
282,2020-01-01,"$500,000"
